"ObjectID","Meter Number","Status","Pay By Cell Number","Meter_Hours","Parking_Facility_Name","Facility","Borough","On_Street","Side_of_Street","From_Street","To_Street","Latitude","Longitude","X","Y","Location"
"14724","3091440","Active","324115","2HR Pas Mon-Sat 0830-1900",,"On Street","Brooklyn","5 AVENUE","W","BAY RIDGE AVENUE","OVINGTON AVENUE","40.63293140389","-74.02131288108","978,334.401583061","169,871.074021637","POINT (-74.0213128810833 40.6329314038903)"
"12273","1113019","Active","107042","2HR Pas Mon-Sat 0700-2200",,"On Street","Manhattan","CHURCH STREET","W","WHITE STREET","WALKER STREET","40.71925180901","-74.00466687567","982,956.338533387","201,319.388749555","POINT (-74.0046668756708 40.7192518090052)"
"11010","1183024","Active","104458","2HR Pas Mon-Sat 0830-1900",,"On Street","Manhattan","MADISON AVENUE","W","EAST 69 STREET","EAST 70 STREET","40.77020914256","-73.96669333533","993,475.573400393","219,886.493019477","POINT (-73.9666933353332 40.7702091425563)"
"6601","5053001","Active","521174","6HR Pas Mon-Sat 0800-2000",,"On Street","Staten Island","SEAVIEW AVENUE","E","NUGENT AVENUE","OLYMPIA BOULEVARD","40.58308200464","-74.08497339727","960,647.189254135","151,720.374102637","POINT (-74.0849733972674 40.5830820046409)"
"8802","1433208","Active","107008","3HR Com Mon-Fri 0700-1800 / 6HR Pas Mon-Fri 1800-2400 / 6HR Pas Sat 0800-2400",,"On Street","Manhattan","EAST 51 STREET","N","5 AVENUE","MADISON AVENUE","40.75892323167","-73.97606285713","990,881.444402307","215,773.815549314","POINT (-73.9760628571276 40.7589232316705)"
"3470","4073060","Active","418170","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","35 STREET","W","35 AVENUE","36 AVENUE","40.75648330937","-73.92548324341","1,004,894.55974872","214,892.747101471","POINT (-73.9254832434069 40.7564833093713)"
"5042","1033099","Active","110841","1HR Com Mon-Fri 0800-1600 / 3HR Pas 1600-2200 Sat 0800-2200",,"On Street","Manhattan","COLUMBUS AVENUE","W","WEST 66 STREET","WEST 67 STREET","40.77398104374","-73.98141843544","989,396.594025552","221,259.51455164","POINT (-73.9814184354429 40.7739810437358)"
"3165","2162867","Active","222571","2HR Pas Mon-Sat 0900-1900",,"On Street","Bronx","EAST TREMONT AVENUE","E","SULLIVAN PLACE","SCOTT PLACE","40.82883109033","-73.8243607406","1,032,857.25349514","241,291.494500726","POINT (-73.8243607406026 40.8288310903335)"
"13987","4053023","Active","469274","3HR Pas Mon-Sat 0830-1900",,"On Street","Queens","AUSTIN STREET","S","AUSTIN STREET","69 ROAD","40.72216900264","-73.85042687832","1,025,709.9475798","202,417.57421723","POINT (-73.8504268783185 40.7221690026369)"
"565","1443527","Active","105715","1HR Com Mon-Fri 0700-1900",,"On Street","Manhattan","WEST 26 STREET","N","AVENUE OF THE AMERICAS","7 AVENUE","40.74537491955","-73.9926517695","986,286.136663809","210,836.906787977","POINT (-73.9926517695036 40.7453749195461)"
"5560","3513008","Active","311132","2HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","20 AVENUE","E","66 STREET","67 STREET","40.6157313705","-73.98658538901","987,974.316030219","163,604.211227313","POINT (-73.9865853890113 40.6157313705016)"
"3310","4093067","Inactive","401107","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","STEPHEN STREET","N","FOREST AVENUE","71 AVENUE","40.70026270295","-73.8993865336","1,012,148.0691918","194,417.071189389","POINT (-73.8993865336 40.7002627029496)"
"9698","3213021","Inactive","318967","2HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","ST JOHNS PLACE","S","SCHENECTADY AVENUE","UTICA AVENUE","40.67053785617","-73.93139088431","1,003,282.39761873","183,578.876986563","POINT (-73.9313908843069 40.6705378561698)"
