"Complaint #","Date","Address #","Street Name","Borough","Block","Lot","BIN","Postcode","Landmark Name","Work Reported","Action Taken","Status","Council District","Community Board","NTA","Latitude","Longitude"
"CMP-17-00558","04/24/2017","167","West 72nd Street","Manhattan","1144","105","1029961","10023","Upper West Side/Central Park West - Historic District","Replacement of 2nd floor window","Warning Letter Issued","Closed","06","MN-07","Lincoln Square","40.77824484136","-73.98074419148"
"CMP-17-00557","04/24/2017","315","West 103rd Street","Manhattan","1890","48","1057192","10025","Riverside-West End  Extension II - Historic District","Work at rear façade--DOB permits properly pulled--ask JW","No Warning Letter Issued","Closed","06","MN-07","Upper West Side","40.79986562824","-73.97033216103"
"CMP-17-00556","04/24/2017","227","4th Avenue","Brooklyn","955","1","3020041","11215","Public Bath No. 7 - Individual Landmark","Installation of signage","Warning Letter Issued","Closed","39","BK-06","Park Slope-Gowanus","40.67696649394","-73.98333313059"
"CMP-17-00559","04/25/2017","450","Henry Street","Brooklyn","322","45","3003805","11231","Cobble Hill - Historic District","Replacement of windows","No Warning Letter Issued","Closed","39","BK-06","Carroll Gardens-Columbia Street-Red Hook","40.68584977718","-73.99860459924"
"CMP-17-00561","04/27/2017","19","Cranberry Street","Brooklyn","214","22","3001559","11201","Brooklyn Heights - Historic District","Installation of intercom and louver","Warning Letter Issued","Closed","33","BK-02","Brooklyn Heights-Cobble Hill","40.70011696961","-73.99465522873"
"CMP-17-00560","04/27/2017","590","Broadway","Manhattan","511","8","1079998","10012","SoHo-Cast Iron - Historic District","Installation of signage","Warning Letter Issued","Closed","01","MN-02","SoHo-TriBeCa-Civic Center-Little Italy","40.72487206749","-73.99723281894"
"CMP-17-00565","04/28/2017","51","Market Street","Manhattan","276","23","1003301","10002","51 Market Street House - Individual Landmark","FTM door? Added intercom","Warning Letter Issued","Closed","01","MN-03","Chinatown","40.71184258565","-73.99430800762"
"CMP-17-00562","04/28/2017","83-09","35th avenue","Queens","1444","32","4035531","11372","Jackson Heights - Historic District","Rmeoval of balcony","Warning Letter Issued","Closed","25","QN-03","Jackson Heights","40.75191218746","-73.88356154982"
"CMP-17-00563","04/28/2017","120","East 125th Street","Manhattan","1773","62","1054469","10035","Fire Hook & Ladder Company No. 14 - Individual Landmark","added light fixtures and replacing doors?","Warning Letter Issued","Closed","08","MN-11","East Harlem North","40.80466434892","-73.93813155429"
"CMP-17-00564","04/28/2017","163","East 71st Street","Manhattan","1406","7502","1087735","10021","Upper East Side - Historic District","Ongoing work at stoop","Warning Letter Issued","Closed","04","MN-08","Upper East Side-Carnegie Hill","40.76950097562","-73.96211439553"
"CMP-17-00571","05/01/2017","82-10","37th Avenue","Queens","1470","1","4036193","11372","Jackson Heights - Historic District","Installation of tv in window","No Warning Letter Issued","Closed","21","QN-03","Jackson Heights","40.74975810504","-73.88410307806"
"CMP-17-00575","05/01/2017","70","Gansevoort Street","Manhattan","643","43","1080252","10014","Gansevoort Market - Historic District","Installation of signage at windows ('billboard')","Warning Letter Issued","Closed","03","MN-02","West Village","40.73937512984","-74.00765019663"
"CMP-17-00574","05/01/2017","86-16","37th Avenue","Queens","1474","1","4036257","11372","Jackson Heights - Historic District","LED signage","No Warning Letter Issued","Closed","21","QN-03","Jackson Heights","40.75015774468","-73.8803488453"
"CMP-17-00573","05/01/2017","86-12","37th Avenue","Queens","1474","1","4036257","11372","Jackson Heights - Historic District","LED signage, signage at door","No Warning Letter Issued","Closed","21","QN-03","Jackson Heights","40.75015228143","-73.88037411931"
"CMP-17-00572","05/01/2017","86-10","37th Avenue","Queens","1474","1","4036257","11372","Jackson Heights - Historic District","Signage pasted in windows","No Warning Letter Issued","Closed","21","QN-03","Jackson Heights","40.75015229642","-73.88038855596"
"CMP-17-00570","05/01/2017","80-23","37th Avenue","Queens","1280","38","4449491","11372","Jackson Heights - Historic District","Installation of signage under windows","No Warning Letter Issued","Closed","25","QN-03","Jackson Heights","40.74958971097","-73.88588628605"
"CMP-17-00569","05/01/2017","80-17","37th Avenue","Queens","1280","38","4449491","11372","Jackson Heights - Historic District","new storefront","No Warning Letter Issued","Closed","25","QN-03","Jackson Heights","40.74958700555","-73.88592599122"
"CMP-17-00568","05/01/2017","80-13","37th Avenue","Queens","1280","38","4029676","11372","Jackson Heights - Historic District","Led signage, under windows too","Warning Letter Issued","Closed","25","QN-03","Jackson Heights","40.74958428583","-73.88595125985"
"CMP-17-00566","05/01/2017","79-15","37th Avenue","Queens","1279","35","4449490","11372","Jackson Heights - Historic District","Signage under window","No Warning Letter Issued","Closed","25","QN-03","Jackson Heights","40.74948637902","-73.88686814752"
"CMP-17-00567","05/01/2017","80-05","37th Avenue","Queens","1280","38","4029676","11372","Jackson Heights - Historic District","Signage in windows","Warning Letter Issued","Closed","25","QN-03","Jackson Heights","40.74957884993","-73.88600540624"
"CMP-17-00577","05/02/2017","59","Middagh Street","Brooklyn","211","37","3001545","11201","Brooklyn Heights - Historic District","Façade work in noncompliance","Warning Letter Issued","Closed","33","BK-02","Brooklyn Heights-Cobble Hill","40.70027604944","-73.99255625221"
"CMP-17-00576","05/02/2017","417","15th Street","Brooklyn","1103","71","3026629","11215","Park Slope  Extension - Historic District","Work done at basement--ignoring SWO","No Warning Letter Issued","Closed","39","BK-06","Park Slope-Gowanus","40.66191114996","-73.98172933305"
"CMP-17-00578","05/03/2017","398","Vanderbilt Avenue","Brooklyn","1959","52","3055942","11238","Fort Greene - Historic District","Alts to façade","Warning Letter Issued","Closed","35","BK-02","Clinton Hill","40.68542272621","-73.96830621613"
